peak     , 1
n_high   , 5
n_low    , 5
tot_buf  , 8
num_edge , 4
cal_div  , 11
deriv    , 1
full     , 1
cal_ticks, 258047
samples  , 80
i_high   , 54
i_low    , 126
i_peak   , 34
t_trig   , 8845880
t_high   , 8683138
t_low    , 8674057
t_peak   , 165935
l_error  , 18288
r_error  , 179
l_out    , 4095
r_low    , 1369
r_high   , 2720
t_buf    , 8770598, 8754464, 8738342, 8722212, 8706086, 8689957, 8673762, 8786725
error    , 0
   0, 555
   1, 578
   2, 599
   3, 623
   4, 645
   5, 667
   6, 697
   7, 725
   8, 762
   9, 793
  10, 834
  11, 879
  12, 928
  13, 979
  14,1036
  15,1103
  16,1179
  17,1262
  18,1361
  19,1464
  20,1572
  21,1682
  22,1784
  23,1879
  24,1960
  25,2026
  26,2074
  27,2109
  28,2130
  29,2134
  30,2129
  31,2115
  32,2090
  33,2059
  34,2016
  35,1965
  36,1905
  37,1842
  38,1774
  39,1707
  40,1639
  41,1569
  42,1500
  43,1431
  44,1365
  45,1301
  46,1241
  47,1187
  48,1129
  49,1075
  50,1024
  51, 974
  52, 926
  53, 881
  54, 833
  55, 790
  56, 749
  57, 708
  58, 673
  59, 639
  60, 605
  61, 573
  62, 546
  63, 519
  64, 495
  65, 472
  66, 451
  67, 428
  68, 409
  69, 393
  70, 377
  71, 358
  72, 345
  73, 331
  74, 318
  75, 306
  76, 293
  77, 283
  78, 269
  79, 260
   0,4440
   1,6844
   2,8214
   3,9091
   4,9428
   5,9206
   6,8469
   7,6592
   8,2484
   9,2628
  10,2852
  11,3121
  12,3454
  13,3800
  14,4146
  15,4586
  16,5080
  17,5688
  18,6374
  19,7121
  20,7901
  21,8672
  22,9288
  23,9679
  24,9780
  25,9550
  26,8925
  27,8032
  28,6899
  29,5574
  30,4203
  31,2836
  32,1531
  33, 339
  34,-763
  35,-1797
  36,-2758
  37,-3606
  38,-4396
  39,-5073
  40,-5623
  41,-6075
  42,-6379
  43,-6573
  44,-6650
  45,-6655
  46,-6574
  47,-6423
  48,-6256
  49,-6048
  50,-5818
  51,-5584
  52,-5366
  53,-5151
  54,-4995
  55,-4846
  56,-4655
  57,-4497
  58,-4317
  59,-4122
  60,-3938
  61,-3754
  62,-3521
  63,-3318
  64,-3108
  65,-2899
  66,-2718
  67,-2557
  68,-2385
  69,-2214
  70,-2072
  71,-1960
  72,-1839
  73,-1724
  74,-1615
  75,-1496
  76,-1421
  77,-1347
  78,-1293
  79,-1209
